day,all
20220906,768
20220906,781
20220906,124
20220906,3
20220906,109
20220906,1530
20220906,168
20220906,42
20220906,931
20220906,537
20220906,7866
20220906,42315
20220906,6947
20220906,2088
20220906,16
20220906,1562
20220906,62282
20220906,13385
20220906,378
20220906,2384
20220906,4108
20220906,543
20220906,1576
20220906,6472
20220906,78086
20220906,16096
20220906,74633
20220906,487196
20220906,494288
20220906,249372
20220906,550383
20220906,9138
20220906,4244604
20220906,2184702
20220906,61
20220906,1
20220906,22
20220906,89
20220906,16
20220906,13
20220906,16
20220906,12
20220906,11
20220906,117
20220906,6
20220906,79
20220906,2
20220906,11
20220906,13
20220906,51
20220906,9
20220906,3871
20220906,21
20220906,13
20220906,4
20220906,16
20220906,56
20220906,96
20220906,2
20220906,124
20220906,403
20220906,376
20220906,8
20220906,18
20220906,12
20220906,418
20220906,180
20220906,156
20220906,40
20220906,24
20220906,11
20220906,20
20220906,14
20220906,7
20220906,548
20220906,1
20220906,18
20220906,10
20220906,6
20220906,14
20220906,51
20220906,17
20220906,43
20220906,27
20220906,91
20220906,2
20220906,5
20220906,64
20220906,4
20220906,10
20220906,17
20220906,18
20220906,1
20220906,19
20220906,16
20220906,7
20220906,307
20220906,37
20220906,1
20220906,157
20220906,1
20220906,9
20220906,275
20220906,53
20220906,4
20220906,4
20220906,2
20220906,12
20220906,5
20220906,19
20220906,1
20220906,11
20220906,14
20220906,42
20220906,9
20220906,2
20220906,9
20220906,42
20220906,13
20220906,4
20220906,10
20220906,1
20220906,42
20220906,14
20220906,14
20220906,1
20220906,1
20220906,20
20220906,8
20220906,8
20220906,14
20220906,4
20220906,3
20220906,19
20220906,194
20220906,5
20220906,4
20220906,54
20220906,19
20220906,20
20220906,30
20220906,270
20220906,4
20220906,158
20220906,8
20220906,2
20220906,11
20220906,167
20220906,2
20220906,1
20220906,470
20220906,3
20220906,1315
20220906,239
20220906,107
20220906,591
20220906,7
20220906,59
20220906,4
20220906,94
20220906,141
20220906,1
20220906,112
20220906,2834
20220906,46
20220906,365
20220906,82
20220906,2
20220906,254
20220906,1810
20220906,11
20220906,1
20220906,371
20220906,714
20220906,2
20220906,11913
20220905,50
20220905,1
20220905,117
20220905,1
20220905,2
20220905,220
20220905,36
20220905,3
20220905,4
20220905,3
20220905,6
20220905,1
20220905,5
20220905,2
20220905,10
20220905,25
20220905,5
20220905,11
20220905,26
20220905,22
20220905,6
20220905,11
20220905,18
20220905,4
20220905,11
20220905,2
20220905,7
20220905,2
20220905,5
20220905,5
20220905,19
20220905,4
20220905,2
20220905,1
20220905,5
20220905,139
20220905,2
20220905,2
20220905,52
20220905,13
20220905,7
20220905,1
20220905,23
20220905,173
20220905,3
20220905,115
20220905,1
20220905,14
20220905,8
20220905,113
20220905,1
20220905,304
20220905,13
20220905,54
20220905,1
20220905,62
20220905,20
20220905,12
20220905,5
20220905,4
20220905,7
20220905,6
20220905,78
20220905,5
20220905,2
20220905,46
20220905,1
20220905,51
20220905,14
20220905,10
20220905,6
20220905,2472
20220905,8
20220905,10
20220905,51
20220905,4
20220905,13
20220905,59
20220905,1
20220905,91
20220905,269
20220905,13
20220905,289
20220905,8
20220905,12
20220905,278
20220905,1
20220905,109
20220905,133
20220905,17
20220905,32
20220905,6
20220905,9
20220905,1
20220905,6
20220905,11
20220905,415
20220905,16
20220905,2
20220905,9
20220905,8
20220905,31
20220905,15
20220905,28
20220905,71
20220905,17
20220905,1
20220905,2
20220905,43
20220905,1
20220905,5
20220905,6
20220905,13
20220905,1
20220905,13
20220905,12
20220905,8
